"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	key_resp.rt	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"				17.51572621	None	f	1.403680076	17.51572621	None																																		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"0	0	0	0							Social	UD	Observational	images/Observational_trial.png	-0.5	1	19.50025956	None	20.51624018	21.77883158	21.26091871	21.76329263	None	23.5256189	None	22.26037313	23.27578368	19.01632749	None	19.50025956	None	0.3	0.7	?	23.54709211	None	24.03275138	None	23.54709211	None	23.54709211	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"1	0	1	0							Social	UD	Observational	images/Observational_trial.png	-0.5	2	26.05696035	None	27.05590238	28.32515253	27.80488628	28.32515253	None	30.06980573	None	28.8044762	29.8198919	25.56848034	None	26.05696035	None	0.3	0.7	?	30.07681258	None	30.56913733	None	30.07681258	None	30.07681258	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"2	0	2	0							Social	UD	Private	images/Private_trial.png	0.5	3	32.61754104	None	33.61641591	34.88175298	34.36575655	34.86527497	d	34.86527497	None	35.41462837	None	32.11882973	None	32.61754104	None	0.3	0.7	-1	35.43442731	None	35.91445103	None	35.43442731	None	35.43442731	None	0.520400181	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"3	0	3	0							Social	UD	Private	images/Private_trial.png	0.5	4	37.92873132	None	38.92841764	40.19587106	39.67866455	40.19587106	d	40.17708786	None	40.68777937	None	37.43161092	None	37.92873132	None	0.3	0.7	1	40.71893593	None	41.19217565	42.69093713	40.71893593	None	40.71893593	None	0.491555167	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"4	0	4	0							Social	UD	Observational	images/Observational_trial.png	-0.5	5	43.22411202	None	44.22322274	45.4873288	44.97701256	45.4873288	None	47.2365655	None	45.97133829	46.98754569	42.72821987	None	43.22411202	None	0.3	0.7	?	47.24708761	None	47.72245987	49.23496317	47.24708761	None	47.24708761	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"5	0	5	0							Social	UD	Private	images/Private_trial.png	0.5	6	49.75327111	None	50.75007585	52.01561322	51.49941926	51.99887961	d	51.99887961	None	53.26414	None	49.254736	None	49.75327111	None	0.3	0.7	1	53.27452699	None	53.78043948	None	53.27452699	None	53.27452699	None	1.241462328	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"6	0	6	0							Social	UD	Private	images/Private_trial.png	0.5	7	55.76210389	None	56.76145915	58.01022221	57.51885194	58.0271739	d	58.01022221	None	None	None	55.27921045	None	55.76210389	None	0.3	0.7	1	58.47496298	None	58.95904912	None	58.47496298	None	58.47496298	None	0.433483509	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"7	0	7	0							Social	UD	Observational	images/Observational_trial.png	-0.5	8	60.97389118	None	61.97514353	63.23883319	62.74246223	63.25545343	None	65.00350495	None	63.73830895	64.75400592	60.48118757	None	60.97389118	None	0.3	0.7	?	65.01751149	None	65.50324661	None	65.01751149	None	65.01751149	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"8	0	8	0							Social	UD	Observational	images/Observational_trial.png	-0.5	9	67.50200968	None	68.51851534	69.78234565	69.26671268	69.78234565	None	71.53825534	None	70.26524502	71.28059988	67.02057045	None	67.50200968	None	0.3	0.7	?	71.55778761	None	72.03020758	73.52989746	71.55778761	None	71.55778761	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"9	0	9	0							Social	UD	Observational	images/Observational_trial.png	-0.5	10	74.07167955	None	75.0612598	76.32592685	75.81208153	76.32592685	None	78.09132236	None	76.82572932	77.84128368	73.56981881	None	74.07167955	None	0.3	0.7	?	78.09948516	None	78.59121296	80.09183598	78.09948516	None	78.09948516	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"10	0	10	0							Social	UD	Private	images/Private_trial.png	0.5	11	80.60884969	None	81.64292492	82.89567021	82.37043921	82.87904484	d	82.87904484	None	None	None	80.11419764	None	80.60884969	None	0.3	0.7	-1	83.30443907	None	83.79062535	None	83.30443907	None	83.30443907	None	0.361327912	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"11	0	11	0							Social	UD	Private	images/Private_trial.png	0.5	12	85.80055996	None	86.79959285	88.06491491	87.54900263	88.06491491	d	88.06491491	None	None	None	85.30438494	None	85.80055996	None	0.3	0.7	1	88.44093239	None	88.93396825	None	88.44093239	None	88.44093239	None	0.331609022	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"12	0	12	0							Social	UD	Observational	images/Observational_trial.png	-0.5	13	90.94614167	None	91.94473249	93.21030818	92.69423906	93.19394197	None	94.95947417	None	93.69357377	94.70968833	90.44993268	None	90.94614167	None	0.3	0.7	?	94.99421591	None	95.46469731	96.97151331	94.99421591	None	94.99421591	None		2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"13	0	13	0							Social	UD	Private	images/Private_trial.png	0.5	14	97.49017364	None	98.48888969	99.75410548	99.23852702	99.75410548	d	99.73748801	None	None	None	96.99225917	None	97.49017364	None	0.3	0.7	1	99.94842987	None	100.4368486	None	99.94842987	None	99.94842987	None	0.184095459	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"14	0	14	0							Social	UD	Private	images/Private_trial.png	0.5	15	102.4352838	None	103.4339501	104.699429	104.1831789	104.699429	d	104.6828538	None	105.267453	None	101.9521466	None	102.4352838	None	0.3	0.7	1	105.2931395	None	105.7684142	107.2806256	105.2931395	None	105.2931395	None	0.55557645	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
"15	0	15	0							Social	UD	Private	images/Private_trial.png	0.5	16	107.797055	None	108.7965406	110.0614522	109.5451903	110.0449762	d	110.0449762	None	None	None	107.2988039	None	107.797055	None	0.3	0.7	-1	110.352377	None	110.8443284	None	110.352377	None	110.352377	None	0.281251728	2	1	23	M	2021_Aug_01_2035	Social Reinforcement Learning	2021.1.4	60.05485302"
