trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,key_resp.rt,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
,,,,19.844086272136337,None,f,2.330496522266003,19.844086272136337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
0,0,0,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,1,22.729054781716513,None,23.72587452977723,24.99141213457733,24.476114530156337,24.99141213457733,None,26.742767277459325,None,25.482678491146544,26.489596823066677,22.24304710012393,None,22.729054781716513,None,0.7,0.30000000000000004,?,26.756802776182212,None,27.23887247624316,None,26.756802776182212,None,26.756802776182212,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
1,0,1,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,2,29.30352166482453,None,30.30461954310249,31.5686258862238,31.052150995991724,31.551773711445094,d,31.551773711445094,None,32.23712578706322,None,28.809280093677444,None,29.30352166482453,None,0.7,0.30000000000000004,-1,32.268818992701654,None,32.750524840335856,None,32.268818992701654,None,32.268818992701654,None,0.658541287571552,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
2,0,2,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,3,34.732159971808414,None,35.73113478500318,36.99657678471385,36.48021843787592,36.980530537134655,d,36.980530537134655,None,37.596071934533526,None,34.249379159512955,None,34.732159971808414,None,0.7,0.30000000000000004,-1,37.60068914676822,None,38.09329594990004,39.5943195564555,37.60068914676822,None,37.60068914676822,None,0.5899778211996818,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
3,0,3,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,4,40.09400192632393,None,41.09274997372859,42.3582192327417,41.842230664266026,42.34143777412419,a,42.34143777412419,None,43.19075455329134,None,39.61108402739228,None,40.09400192632393,None,0.7,0.30000000000000004,1,43.199554685716066,None,43.69149146309792,None,43.199554685716066,None,43.199554685716066,None,0.8340947501742448,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
4,0,4,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,5,45.68847634722215,None,46.68746972834742,47.95501227458726,47.436792393943506,47.93700375230219,a,47.93700375230219,None,49.13594873828929,None,45.20578323876862,None,45.68847634722215,None,0.7,0.30000000000000004,1,49.13973473933402,None,49.63457324969613,None,49.13973473933402,None,49.13973473933402,None,1.1797747038413036,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
5,0,5,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,6,51.64996092833326,None,52.648898605667,53.91413833345314,53.40108705356988,53.91413833345314,None,55.6626359903385,None,54.39698156560053,55.39591726762228,51.154688639508095,None,51.64996092833326,None,0.7,0.30000000000000004,?,55.67475385640137,None,56.16195778679776,None,55.67475385640137,None,55.67475385640137,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
6,0,6,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,7,58.17679277320349,None,59.17576324071251,60.441630722576974,59.925234844815805,60.424496473278396,a,60.424496473278396,None,None,None,57.67945549346041,None,58.17679277320349,None,0.7,0.30000000000000004,-1,60.834546306443826,None,61.3255669342293,None,60.834546306443826,None,60.834546306443826,None,0.36408314324216917,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
7,0,7,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,8,63.32213700288321,None,64.32142747089802,65.58641159334184,65.070748951307,65.57002480201481,None,67.33500722569038,None,66.0719120148733,67.08504191216525,62.824527130117076,None,63.32213700288321,None,0.7,0.30000000000000004,?,67.34526355794742,None,67.834698010387,None,67.34526355794742,None,67.34526355794742,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
8,0,8,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,9,69.84950257699165,None,70.84830948868648,72.11378743907153,71.59793635229471,72.09704706693856,a,72.09704706693856,None,72.71354056460727,None,69.35176154352439,None,69.84950257699165,None,0.7,0.30000000000000004,1,72.7263695429051,None,73.212591743355,None,72.7263695429051,None,72.7263695429051,None,0.5962233619334256,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
9,0,9,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,10,75.22769734747226,None,76.22669072859799,77.49233697554473,76.97632944407633,77.47541487472972,a,77.47541487472972,None,None,None,74.73048451237082,None,75.22769734747226,None,0.7,0.30000000000000004,1,77.83761752117334,None,78.32505927910597,None,77.83761752117334,None,77.83761752117334,None,0.3294053600479856,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
10,0,10,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,11,80.3396445861049,None,81.33871579451397,82.60390218888278,82.08781208938217,82.58727282927066,None,84.35256458676899,None,83.08797722544568,84.10261586586239,79.84811472294678,None,80.3396445861049,None,0.7,0.30000000000000004,?,84.36460462554805,None,84.85197961794302,None,84.36460462554805,None,84.36460462554805,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
11,0,11,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,12,86.85041556608894,None,87.84945714482137,89.11457677365206,88.59860124223405,89.09814099459345,None,90.87946675273774,None,89.61410941488884,90.61299849955321,86.36736295089486,None,86.85041556608894,None,0.7,0.30000000000000004,?,90.88414203913817,None,91.37943645145515,None,90.88414203913817,None,90.88414203913817,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
12,0,12,0,,,,,,,Social,SD,Observational,images/Observational_trial.png,-0.5,13,93.37725610233065,None,94.38079981163446,95.641857409355,95.12610587829067,95.62518972869475,None,97.39013541157196,None,96.12492187641965,97.12387851674657,92.89485692026801,None,93.37725610233065,None,0.7,0.30000000000000004,?,97.39350106627353,None,97.88969780100388,None,97.39350106627353,None,97.39350106627353,None,,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
13,0,13,0,,,,,,,Social,SD,Private,images/Private_trial.png,0.5,14,99.90445535518893,None,100.90392044076316,102.16954970002917,101.66099067415826,102.16954970002917,a,102.15267342644711,None,102.66886414832884,None,99.40736854497754,None,99.90445535518893,None,0.7,0.30000000000000004,-1,102.68006546973311,None,103.15143530103387,104.64997278020383,102.68006546973311,None,102.68006546973311,None,0.49535090623339784,2,1,23,M,2021_Aug_02_1239,Social Reinforcement Learning,2021.1.4,59.958263061158995,
