trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,textbox.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,block_type,learning_type,trial_type,image_path,x_image,trial,person.started,person.stopped,text.started,text.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,line.started,line.stopped,text_5.started,text_5.stopped,reward_a,reward_d,reward,image.started,image.stopped,text_3.started,text_3.stopped,line_2.started,line_2.stopped,text_6.started,text_6.stopped,session,exp_id,age,sex(M or F),date,expName,psychopyVersion,frameRate,
,,,,18.742792499484494,None,f,0.8297340604476631,18.742792499484494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
0,0,0,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,1,20.175163120846264,None,21.15964076272212,22.426976847811602,21.90825093665626,22.426976847811602,d,1.7053469982347451,22.408681158558466,None,24.142869615519885,None,19.668222286796663,None,20.175163120846264,None,0.3,0.7,1,24.212066597829107,None,24.689180690038484,None,24.212066597829107,None,24.212066597829107,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
1,0,1,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,2,26.685759063111618,None,27.68555600149557,28.948996781022288,28.43303748499602,28.93252746068174,d,0.5572910164482892,28.93252746068174,None,29.51524739532033,None,26.20095628564013,None,26.685759063111618,None,0.3,0.7,-1,29.535630194062833,None,30.04625616094563,None,29.535630194062833,None,29.535630194062833,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
2,0,2,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,3,32.01348976709414,None,33.014249075145926,34.27831760724075,33.76626823405968,34.27831760724075,d,1.2479915077565238,34.27831760724075,None,35.55860894132638,None,31.5301475317101,None,32.01348976709414,None,0.3,0.7,1,35.58850718929898,None,36.0861889689113,None,35.58850718929898,None,35.58850718929898,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
3,0,3,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,4,38.07629663107218,None,39.07627569278702,40.339015633333474,39.82643095194362,40.339015633333474,d,0.8643339343252592,40.339015633333474,None,41.22138728183927,None,37.598405453085434,None,38.07629663107218,None,0.3,0.7,1,41.23624159110477,None,41.72126520785969,None,41.23624159110477,None,41.23624159110477,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
4,0,4,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,5,43.73568613472162,None,44.73683852888644,45.99968711135443,45.487925737921614,45.99968711135443,d,0.5953978505567648,45.983189741673414,None,46.599096020450816,None,43.24140346358763,None,43.73568613472162,None,0.3,0.7,1,46.602951029723044,None,47.09961710643256,48.59940969920717,46.602951029723044,None,46.602951029723044,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
5,0,5,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,6,49.11407595925266,None,50.130451254954096,51.39561252691783,50.86476534139365,51.37885520682903,d,0.7572165869059972,51.35776801360771,None,52.13092967431294,None,48.61928010324482,None,49.11407595925266,None,0.3,0.7,1,52.15707997465506,None,52.639343692339025,None,52.15707997465506,None,52.15707997465506,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
6,0,6,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,7,54.65925636800239,None,55.65779543085955,56.90651740715839,56.407266048539896,56.90651740715839,d,0.47723024018341675,56.90651740715839,None,57.403752767364495,None,54.17113349441206,None,54.65925636800239,None,0.3,0.7,1,57.40886486211093,None,57.891019542876165,59.40458871732699,57.40886486211093,None,57.40886486211093,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
7,0,7,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,8,59.92132193868747,None,60.919556409236975,62.179416352068074,61.668217151018325,62.179416352068074,d,0.5310218026279472,62.179416352068074,None,62.73457087634597,None,59.432664151943754,None,59.92132193868747,None,0.3,0.7,1,62.759289079054724,None,63.235383517690934,64.73380801279563,62.759289079054724,None,62.759289079054724,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
8,0,8,0,,,,,,,Private,PL,Private,images/Private_trial.png,0.5,9,65.25832512922352,None,66.25003871601075,67.51156858343165,67.00030340714147,67.51156858343165,d,0.5571886955294758,67.51156858343165,None,68.09626224491512,None,64.75319723202847,None,65.25832512922352,None,0.3,0.7,-1,68.13799021195155,None,68.63477006636094,None,68.13799021195155,None,68.13799021195155,None,4,2,52,F,2021_Aug_02_0121,Social Reinforcement Learning,2021.1.4,59.832693156371164,
