"trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	textbox.started	textbox.stopped	key_resp_2.keys	key_resp_2.rt	key_resp_2.started	key_resp_2.stopped	block_type	learning_type	trial_type	image_path	x_image	trial	person.started	person.stopped	text.started	text.stopped	text_2.started	text_2.stopped	key_resp.keys	key_resp.rt	key_resp.started	key_resp.stopped	text_4.started	text_4.stopped	line.started	line.stopped	text_5.started	text_5.stopped	reward_a	reward_d	reward	image.started	image.stopped	text_3.started	text_3.stopped	line_2.started	line_2.stopped	text_6.started	text_6.stopped	session	exp_id	age	sex(M or F)	date	expName	psychopyVersion	frameRate"
"				21.20233465	None	f	13.41660925	21.20233465	None																																		1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"0	0	0	0							Private	PL	Private	images/Private_trial.png	0.5	1	35.23517097	None	36.21622106	37.47880337	36.97090096	37.47880337	a	1.291636708	37.46197415	None	38.77749465	None	34.72200871	None	35.23517097	None	0.7	0.3	1	38.80637566	None	39.29380599	None	38.80637566	None	38.80637566	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"1	0	1	0							Private	PL	Private	images/Private_trial.png	0.5	2	41.29269666	None	42.3075723	43.57291056	43.05674939	43.55620144	a	0.861390727	43.55620144	None	44.43857305	None	40.81829624	None	41.29269666	None	0.7	0.3	1	44.44228864	None	44.94194928	None	44.44228864	None	44.44228864	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"2	0	2	0							Private	PL	Private	images/Private_trial.png	0.5	3	46.93748983	None	47.93540469	49.20255984	48.68492311	49.20255984	a	0.6693332	49.20255984	None	49.9008755	None	46.45332586	None	46.93748983	None	0.7	0.3	1	49.92400283	None	50.40922002	51.91446802	49.92400283	None	49.92400283	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"3	0	3	0							Private	PL	Private	images/Private_trial.png	0.5	4	52.43112104	None	53.43056519	54.6964838	54.18045378	54.67950287	d	0.714496226	54.67950287	None	55.41215568	None	51.94358365	None	52.43112104	None	0.7	0.3	1	55.43511906	None	55.91215296	57.43062168	55.43511906	None	55.43511906	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"4	0	4	0							Private	PL	Private	images/Private_trial.png	0.5	5	57.94477515	None	58.94171303	60.20608616	59.69634434	60.22472634	d	1.379300046	60.20608616	None	61.60649193	None	57.45771223	None	57.94477515	None	0.7	0.3	1	61.63327634	None	62.12293837	None	61.63327634	None	61.63327634	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"5	0	5	0							Private	PL	Private	images/Private_trial.png	0.5	6	64.13725579	None	65.13635742	66.40131721	65.88924098	66.40131721	d	0.979823818	66.38470093	None	67.38407946	None	63.64045105	None	64.13725579	None	0.7	0.3	-1	67.40102566	None	67.89222013	None	67.40102566	None	67.40102566	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"6	0	6	0							Private	PL	Private	images/Private_trial.png	0.5	7	69.88256562	None	70.88086607	72.13023595	71.63096958	72.13023595	a	1.216253459	72.13023595	None	73.36504066	None	69.39884136	None	69.88256562	None	0.7	0.3	-1	73.3911827	None	73.87889037	None	73.3911827	None	73.3911827	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"7	0	7	0							Private	PL	Private	images/Private_trial.png	0.5	8	75.89369885	None	76.89196809	78.15706022	77.64084374	78.14038073	a	1.09838649	78.14038073	None	79.25811136	None	75.39486902	None	75.89369885	None	0.7	0.3	1	79.269951	None	79.75588167	None	79.269951	None	79.269951	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
"8	0	8	0							Private	PL	Private	images/Private_trial.png	0.5	9	81.75475693	None	82.75316089	84.01800374	83.50292069	84.01800374	a	1.827707	84.01800374	None	85.8664293	None	81.27352275	None	81.75475693	None	0.7	0.3	1	85.8697846	None	86.36658934	87.8647203	85.8697846	None	85.8697846	None	1	3	18	M	2021_Aug_01_1544	Social Reinforcement Learning	2021.1.4	60.29259602"
